map 0.05 50 10 3
ObsCylinder 12.487 6.19178 0 3 0.268384
ObsCylinder 19.5535 1.23559 0 3 0.273944
ObsCylinder 35.3221 1.73708 0 3 0.284882
ObsCylinder 4.02209 3.01224 0 3 0.231797
ObsCylinder 8.01363 2.33614 0 3 0.233967
ObsCylinder 43.7388 6.82368 0 3 0.251003
ObsCylinder 4.5362 8.62031 0 3 0.231682
ObsCylinder 20.374 8.47388 0 3 0.281174
ObsCylinder 9.69406 5.62879 0 3 0.281759
ObsCylinder 29.3287 7.73325 0 3 0.299002
ObsCylinder 31.9623 7.98539 0 3 0.242755
ObsCylinder 41.8214 7.98028 0 3 0.206683
ObsCylinder 34.7699 4.77341 0 3 0.281071
ObsCylinder 12.9391 4.68391 0 3 0.279662
ObsCylinder 15.5955 6.95059 0 3 0.253317
ObsCylinder 37.7578 5.2376 0 3 0.208171
ObsCylinder 33.2583 1.84218 0 3 0.253867
ObsCylinder 42.8436 5.53463 0 3 0.282926
ObsCylinder 15.9918 2.43869 0 3 0.215446
ObsCylinder 2.40285 1.89016 0 3 0.259824
ObsCylinder 17.6359 6.90512 0 3 0.211553
ObsCylinder 29.8372 5.59521 0 3 0.223876
ObsCylinder 14.7371 2.39609 0 3 0.228834
ObsCylinder 5.42495 1.63509 0 3 0.257276
ObsCylinder 20.8995 6.09194 0 3 0.272709
ObsCylinder 24.8448 2.6235 0 3 0.215702
ObsCylinder 44.516 3.62836 0 3 0.235755
ObsCylinder 28.0423 4.93461 0 3 0.256691
ObsCylinder 20.2717 4.7458 0 3 0.201615
ObsCylinder 16.7805 8.70899 0 3 0.26755
ObsCylinder 36.6029 7.29355 0 3 0.22115
ObsCylinder 45.1215 7.30999 0 3 0.265525
ObsCylinder 21.9357 5.32011 0 3 0.210065
ObsCylinder 28.7069 2.49915 0 3 0.286105
ObsCylinder 47.3554 6.42192 0 3 0.225033
ObsCylinder 13.3098 1.7622 0 3 0.235643
ObsCylinder 46.7527 7.91933 0 3 0.203081
ObsCylinder 31.1461 4.36575 0 3 0.2967
ObsCylinder 7.33068 4.82887 0 3 0.226993
ObsCylinder 43.0933 3.28859 0 3 0.216802
ObsCylinder 28.0298 6.53273 0 3 0.208252
ObsCylinder 15.6645 3.80954 0 3 0.220333
ObsCylinder 34.1352 8.60828 0 3 0.292976
ObsCylinder 47.4888 3.50341 0 3 0.212445
ObsCylinder 18.3998 3.69025 0 3 0.215988
ObsCylinder 37.138 3.37372 0 3 0.244838
